Keyword,Category,SEA competition index,SEA Cost per click,Demand,month,year
tendance prix fuel domestique,Fioul - Price,0.2,0.57,70,10,2013
commande de fuel,Fioul - Transactional,0.65,2.2,20,10,2013
fioul charente,Fioul - Generic,0.17,,20,10,2013
tarif fuel domestique aujourd hui,Fioul - Price,0.32,1.21,50,10,2013
entretien cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.62,3.35,30,10,2013
fioul manche,Fioul - Generic,0.25,0.62,10,10,2013
tendance du prix du fioul domestique,Fioul - Price,0.22,0.12,40,10,2013
prix du fioul nievre,Fioul - Price,0.31,0.37,0,10,2013
meilleur prix fioul,Fioul - Low cost,0.83,0.95,20,10,2013
cout fuel domestique,Fioul - Price,0.22,0.37,50,10,2013
tarif fioul domestique aujourd hui,Fioul - Price,0.23,0.44,50,10,2013
fioul colmar,Fioul - Generic,0.31,0.71,20,10,2013
fioul soissons,Fioul - Generic,0.13,0.15,10,10,2013
le prix du fuel domestique aujourd hui,Fioul - Price,0.32,0.61,10,10,2013
fioul haute loire,Fioul - Generic,0.07,0.17,10,10,2013
fioul brest,Fioul - Generic,0.26,0.33,20,10,2013
commander du fuel,Fioul - Transactional,0.65,1.35,10,10,2013
prix moyen du fioul domestique,Fioul - Price,0.15,0.42,40,10,2013
courbe prix du fuel,Fioul - Price,0.07,,10,10,2013
fioul saint junien,Fioul - Generic,0.05,0.33,0,10,2013
prix fuel domestique aujourd hui,Fioul - Price,0.11,0.27,170,10,2013
cours du prix du fioul,Fioul - Price,0.18,0.25,10,10,2013
fioul eure et loir,Fioul - Generic,0.08,0.95,10,10,2013
aide pour le chauffage au fuel,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.57,0.32,20,10,2013
fioul meuse,Fioul - Generic,0.24,0.18,10,10,2013
courbe prix fuel,Fioul - Price,0.04,0.25,10,10,2013
fioul castres,Fioul - Generic,0.26,0.26,10,10,2013
prix moyen du fuel,Fioul - Price,0.08,0.11,40,10,2013
fioul le havre,Fioul - Generic,0.16,0.53,10,10,2013
prix du fioul lyon,Fioul - Price,0.28,0.89,10,10,2013
tendance prix du fuel domestique,Fioul - Price,0.22,0.16,30,10,2013
fioul saumur,Fioul - Generic,0.22,0.82,10,10,2013
fuel prix tendance,Fioul - Price,0.31,1.75,20,10,2013
livraison fioul pas cher,Fioul - Transactional,0.83,2.4,10,10,2013
courbe prix du fioul domestique,Fioul - Price,0.08,,10,10,2013
cout nettoyage cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.5,,10,10,2013
fioul crepy en valois,Fioul - Generic,0.27,1.11,10,10,2013
le fuel le moins cher,Fioul - Low cost,0.7,0.31,10,10,2013
tendance du prix du fuel domestique,Fioul - Price,0.14,,10,10,2013
prix du fioul 2016,Fioul - Price,0.01,,0,10,2013
tendance prix du fioul domestique,Fioul - Price,0.21,0.15,20,10,2013
prix du fuel ce jour,Fioul - Price,0.27,0.27,10,10,2013
evolution prix du fuel domestique aujourd hui,Fioul - Price,0.08,0.41,20,10,2013
fioul nord pas de calais,Fioul - Generic,0.23,1.35,20,10,2013
courbe du prix du fuel domestique,Fioul - Price,0.17,,10,10,2013
prix fioul 2016,Fioul - Price,0.05,,0,10,2013
nettoyage de cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.76,0.81,10,10,2013
evolution prix du fioul 2016,Fioul - Price,0.14,,0,10,2013
commande de fioul en ligne,Fioul - Price,0.84,3.91,20,10,2013
cours du fuel domestique ce jour,Fioul - Price,0.29,,30,10,2013
evolution fuel domestique,Fioul - Price,0.11,,40,10,2013
fioul de qualité supérieure,Fioul - Generic,0.52,,10,10,2013
fuel en ligne,Fioul - Generic,0.58,0.31,10,10,2013
fuel paiement plusieurs fois,Fioul - Transactional,0.24,,0,10,2013
prix du fioul morlaix,Fioul - Price,0.07,,0,10,2013
courbe prix du fuel domestique,Fioul - Price,0.11,,10,10,2013
fioul contrexeville,Fioul - Generic,0.29,2.89,0,10,2013
prix du fioul,Fioul - Price,0.21,0.41,33100,11,2013
fioul,Fioul - Generic,0.42,0.75,8100,11,2013
prix fioul,Fioul - Price,0.2,0.51,6600,11,2013
prix du fuel,Fioul - Price,0.17,0.51,9900,11,2013
prix du fioul domestique,Fioul - Price,0.26,0.41,3600,11,2013
prix fuel,Fioul - Price,0.24,0.42,1900,11,2013
fuel,Fioul - Generic,0.22,0.91,5400,11,2013
prix du fuel domestique,Fioul - Price,0.25,0.44,6600,11,2013
fioul pas cher,Fioul - Low cost,0.81,1.11,1300,11,2013
fioul moins cher,Fioul - Low cost,0.76,1.01,2900,11,2013
prix fuel domestique,Fioul - Price,0.22,0.45,4400,11,2013
evolution prix du fioul,Fioul - Price,0.12,0.39,260,11,2013
prix fioul domestique,Fioul - Price,0.25,0.48,1600,11,2013
fioul domestique,Fioul - Generic,0.45,1,2400,11,2013
fioul prix,Fioul - Price,0.39,0.57,720,11,2013
cours du fioul,Fioul - Price,0.11,0.21,1600,11,2013
fuel domestique,Fioul - Generic,0.47,0.85,1900,11,2013
tarif fioul,Fioul - Price,0.31,0.35,1300,11,2013
fuel prix,Fioul - Price,0.41,0.53,720,11,2013
fuel moins cher,Fioul - Low cost,0.61,0.59,720,11,2013
le prix du fioul,Fioul - Price,0.3,0.34,480,11,2013
chauffage au fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1,0.33,1000,11,2013
tendance prix fioul,Fioul - Price,0.32,0.48,40,11,2013
cuve a fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1,0.66,1300,11,2013
tarif fuel,Fioul - Price,0.22,0.48,590,11,2013
cours du fuel,Fioul - Price,0.08,0.22,720,11,2013
prix du litre de fioul,Fioul - Price,0.14,0.27,590,11,2013
aide au chauffage,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.47,0.48,390,11,2013
prix du fioul alsace,Fioul - Price,0.11,0.72,390,11,2013
fuel pas cher,Fioul - Low cost,0.77,1.02,590,11,2013
cours du fioul domestique,Fioul - Price,0.16,0.41,320,11,2013
fuel domestique prix,Fioul - Price,0.38,0.64,170,11,2013
prix du fioul en france,Fioul - Price,0.08,0.76,30,11,2013
evolution prix fioul,Fioul - Price,0.1,0.48,140,11,2013
prix du fioul bas rhin,Fioul - Price,0.12,0.82,40,11,2013
fioul domestique prix,Fioul - Price,0.36,0.59,210,11,2013
aide chauffage,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.53,0.86,320,11,2013
prix du fioul moselle,Fioul - Price,0.23,0.33,40,11,2013
tarif fuel domestique,Fioul - Price,0.28,0.42,880,11,2013
cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1,0.73,2400,11,2013
livraison fioul,Fioul - Transactional,0.52,1.51,260,11,2013
nettoyage cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.82,2.04,480,11,2013
cours du fuel domestique,Fioul - Price,0.17,0.53,320,11,2013
prix litre fioul,Fioul - Price,0.08,0.34,210,11,2013
prix du fioul domestique aujourd hui,Fioul - Price,0.19,0.56,880,11,2013
tarif fioul domestique,Fioul - Price,0.31,0.47,480,11,2013
tarif du fioul,Fioul - Price,0.39,0.38,390,11,2013
prix du fioul domestique ce jour,Fioul - Price,0.17,0.54,50,11,2013
cours fioul,Fioul - Price,0.12,0.26,260,11,2013
fioul le moins cher,Fioul - Low cost,0.81,0.79,260,11,2013
achat fioul,Fioul - Transactional,0.72,1.68,140,11,2013
prix du fuel aujourd hui,Fioul - Price,0.12,0.49,210,11,2013
